,time,lat,lon,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km
156,2025-04-29 19:15:40+00:00,34.60677,-98.422032,341.7,,68,,1.0,4.258540982789055,4.258540982789055,4.032393258656407,247.99168529837286
157,2025-04-29 19:15:41+00:00,34.606742,-98.422005,341.7,,71,,1.0,3.9748976687902218,3.9748976687902218,3.928524320007991,254.5485069055054
158,2025-04-29 19:15:42+00:00,34.606716,-98.421976,341.6,,81,,1.0,3.9246140919437864,3.9246140919437864,3.7541939293790407,266.368764856376
159,2025-04-29 19:15:43+00:00,34.606693,-98.42195,341.7,,83,,1.0,3.493277069295752,3.493277069295752,3.529424367284309,283.3323216299555
160,2025-04-29 19:15:44+00:00,34.606677,-98.421922,341.6,,84,,1.0,3.1196398340763882,3.1196398340763882,3.343900366728181,299.0519723464261
161,2025-04-29 19:15:45+00:00,34.606662,-98.421893,341.7,,84,,1.0,3.134693172315394,3.134693172315394,3.1601300789392726,316.442670086435
162,2025-04-29 19:15:46+00:00,34.606652,-98.421862,341.7,,83,,1.0,3.047277666009587,3.047277666009587,3.0736343457824478,325.3477439085007
163,2025-04-29 19:15:47+00:00,34.606641,-98.421832,341.7,,83,,1.0,3.0057626529992403,3.0057626529992403,3.051403471689728,327.71805147296556
164,2025-04-29 19:15:48+00:00,34.606633,-98.4218,341.7,,83,,1.0,3.0607984035116305,3.0607984035116305,2.9923726159783564,334.18298064228543
165,2025-04-29 19:15:49+00:00,34.606624,-98.421769,341.7,,83,,1.0,3.0084854636127876,3.0084854636127876,2.866278000260754,348.8845115194782
166,2025-04-29 19:15:50+00:00,34.606613,-98.421741,341.7,,82,,1.0,2.8395388937585366,2.8395388937585366,2.800227691273722,357.11381725003093
167,2025-04-29 19:15:51+00:00,34.606606,-98.421716,341.7,,82,,1.0,2.4168045874215744,2.4168045874215744,2.717805931061231,367.94385815823375
168,2025-04-29 19:15:52+00:00,34.606595,-98.42169,341.7,,81,,1.0,2.6755111080640814,2.6755111080640814,2.6586296807555647,376.1336177198649
169,2025-04-29 19:15:53+00:00,34.606583,-98.421665,341.7,168.0,81,,1.0,2.6486896024491755,2.6486896024491755,2.6151650155164154,382.3850480052902
170,2025-04-29 19:15:54+00:00,34.606575,-98.421637,341.6,168.0,80,,1.0,2.712604212084457,2.712604212084457,2.761500907570161,362.1219161140519
171,2025-04-29 19:15:55+00:00,34.60657,-98.421609,341.6,168.0,81,,1.0,2.62221556756279,2.62221556756279,2.818850365840805,354.75455246512195
172,2025-04-29 19:15:56+00:00,34.606562,-98.421576,341.7,168.0,80,,1.0,3.1484840476903013,3.1484840476903013,2.908101901261248,343.8669049273337
173,2025-04-29 19:15:57+00:00,34.606552,-98.421546,341.7,166.0,80,,1.0,2.9622583994173026,2.9622583994173026,2.965851741625115,337.1712705544944
174,2025-04-29 19:15:58+00:00,34.606543,-98.421514,341.5,166.0,80,,1.0,3.0949472795513917,3.0949472795513917,3.148070547037054,317.65488894179776
175,2025-04-29 19:15:59+00:00,34.606521,-98.421495,341.5,,81,,1.0,3.001353413903789,3.001353413903789,2.962460350337449,337.557260432563
176,2025-04-29 19:16:00+00:00,34.606501,-98.421465,341.4,166.0,82,,1.0,3.533309594622486,3.533309594622486,2.8868528877376973,346.39797692762136
177,2025-04-29 19:16:01+00:00,34.606491,-98.421444,341.5,168.0,82,,1.0,2.220433064192276,2.220433064192276,2.780383482376881,359.66261716715593
178,2025-04-29 19:16:02+00:00,34.606488,-98.421416,341.5,167.0,82,,1.0,2.5842210864185438,2.5842210864185438,2.597877136303378,384.92967431975615
179,2025-04-29 19:16:03+00:00,34.606488,-98.421388,341.5,,82,,1.0,2.5626002527473113,2.5626002527473113,2.4052244829501213,415.7616085686326
180,2025-04-29 19:16:04+00:00,34.606483,-98.421366,341.5,,81,,1.0,2.088821683536273,2.088821683536273,2.512740949825515,397.9717845842565
181,2025-04-29 19:16:05+00:00,34.606471,-98.421342,341.5,169.0,80,,1.0,2.570046327856202,2.570046327856202,2.420122457027216,413.20223160457795
182,2025-04-29 19:16:06+00:00,34.606456,-98.421318,341.5,166.0,79,,1.0,2.7580153985692455,2.7580153985692455,2.4097603649995585,414.97902219840984
183,2025-04-29 19:16:07+00:00,34.60645,-98.421296,341.5,,78,,1.0,2.1211286224270487,2.1211286224270487,2.602552848317564,384.23811475968915
184,2025-04-29 19:16:08+00:00,34.606446,-98.421269,341.5,,78,,1.0,2.5107897926090224,2.5107897926090224,2.6667690558256334,374.985602077342
185,2025-04-29 19:16:09+00:00,34.60645,-98.421236,341.6,,77,,1.0,3.0527841001263005,3.0527841001263005,2.682471045064692,372.79060358911846
186,2025-04-29 19:16:10+00:00,34.606455,-98.421205,341.6,161.0,77,,1.0,2.89112736539655,2.89112736539655,2.8411560193453527,351.96940723811986
187,2025-04-29 19:16:11+00:00,34.606464,-98.421176,341.6,,76,,1.0,2.8365253447645395,2.8365253447645395,2.8921648705596636,345.7617545179884
188,2025-04-29 19:16:12+00:00,34.60647,-98.421145,341.7,,78,,1.0,2.9145534938303523,2.9145534938303523,2.869031640336873,348.5496590349847
189,2025-04-29 19:16:13+00:00,34.606473,-98.421115,341.7,,78,,1.0,2.7658340486805764,2.7658340486805764,2.963134620927814,337.4804482176651
190,2025-04-29 19:16:14+00:00,34.606475,-98.421083,341.7,,79,,1.0,2.9371179490123462,2.9371179490123462,3.0052861733462195,332.74701386808545
191,2025-04-29 19:16:15+00:00,34.606481,-98.421047,341.7,,80,,1.0,3.361642268351258,3.361642268351258,2.996738801626348,333.69608304110255
192,2025-04-29 19:16:16+00:00,34.606491,-98.421016,341.7,,80,,1.0,3.0472831068565642,3.0472831068565642,3.111842222534812,321.3530534287276
193,2025-04-29 19:16:17+00:00,34.606495,-98.420985,341.7,,81,,1.0,2.8718166352309957,2.8718166352309957,3.066764272476921,326.07657816240766
194,2025-04-29 19:16:18+00:00,34.60649,-98.420949,341.7,,81,,1.0,3.341351153222895,3.341351153222895,2.8541995064148935,350.36093228678374
195,2025-04-29 19:16:19+00:00,34.606485,-98.42092,341.7,,81,,1.0,2.7117281987228914,2.7117281987228914,2.598865910273479,384.7832225767931
196,2025-04-29 19:16:20+00:00,34.606483,-98.420895,341.7,,81,,1.0,2.29881843804112,2.29881843804112,2.391263236277896,418.1890077298822
197,2025-04-29 19:16:21+00:00,34.60648,-98.420876,341.7,160.0,79,,1.0,1.7706151261494922,1.7706151261494922,2.0897536630846396,478.5253006921026
198,2025-04-29 19:16:22+00:00,34.606479,-98.420856,341.7,161.0,76,,1.0,1.8338032652530791,1.8338032652530791,1.8980221527913748,526.864240509166
199,2025-04-29 19:16:23+00:00,34.606478,-98.420836,341.7,161.0,73,,1.0,1.833803287256616,1.833803287256616,1.8226485587114127,548.6521223306955
200,2025-04-29 19:16:24+00:00,34.606476,-98.420817,341.7,161.0,70,,1.0,1.7530706472565667,1.7530706472565667,1.9173840292610376,521.5439289881857
201,2025-04-29 19:16:25+00:00,34.606476,-98.420796,341.7,161.0,67,,1.0,1.9219504676413104,1.9219504676413104,2.11853201836842,472.0249641400966
202,2025-04-29 19:16:26+00:00,34.606469,-98.420773,341.7,161.0,65,,1.0,2.2442924788976155,2.2442924788976155,2.3814689520101773,419.9088966311774
203,2025-04-29 19:16:27+00:00,34.606458,-98.420745,341.7,161.0,63,,1.0,2.839543210789992,2.839543210789992,2.6630564945035893,375.5083686973777
204,2025-04-29 19:16:28+00:00,34.60645,-98.420712,341.8,160.0,63,,1.0,3.1484879554654017,3.1484879554654017,2.866090201534175,348.9073719538607
205,2025-04-29 19:16:29+00:00,34.606445,-98.420678,341.8,,63,,1.0,3.1610083597236267,3.1610083597236267,3.0582679887385114,326.98246317272043
206,2025-04-29 19:16:30+00:00,34.606443,-98.420646,341.9,162.0,65,,1.0,2.937119002794237,2.937119002794237,3.11429280094612,321.10018675707073
207,2025-04-29 19:16:31+00:00,34.606444,-98.420611,341.9,162.0,70,,1.0,3.2051814149193,3.2051814149193,3.0890462542644985,323.72451484644404
208,2025-04-29 19:16:32+00:00,34.606446,-98.420577,341.9,,73,,1.0,3.119667271828033,3.119667271828033,3.0827565826398597,324.38500192696665
209,2025-04-29 19:16:33+00:00,34.606445,-98.420544,341.9,,76,,1.0,3.0222552220572965,3.0222552220572965,3.0516202576508236,327.69477050523085
